Date,Day,Arrivals,Departures
Mar 01 2019 08:00:00,Fri,19,40
Mar 01 2019 09:00:00,Fri,18,32
Mar 01 2019 10:00:00,Fri,16,34
Mar 01 2019 11:00:00,Fri,32,20
Mar 01 2019 12:00:00,Fri,33,26
Mar 01 2019 13:00:00,Fri,30,30
Mar 01 2019 14:00:00,Fri,35,31
Mar 01 2019 15:00:00,Fri,29,26
Mar 08 2019 08:00:00,Fri,18,41
Mar 08 2019 09:00:00,Fri,16,33
Mar 08 2019 10:00:00,Fri,21,33
Mar 08 2019 11:00:00,Fri,32,21
Mar 08 2019 12:00:00,Fri,30,25
Mar 08 2019 13:00:00,Fri,32,32
Mar 08 2019 14:00:00,Fri,34,33
Mar 08 2019 15:00:00,Fri,26,25
Mar 08 2019 16:00:00,Fri,35,32
Mar 08 2019 17:00:00,Fri,33,27
Mar 08 2019 18:00:00,Fri,44,32
Mar 08 2019 19:00:00,Fri,35,31
Mar 08 2019 20:00:00,Fri,26,37
Mar 08 2019 21:00:00,Fri,29,31
Mar 08 2019 22:00:00,Fri,38,26
Mar 08 2019 23:00:00,Fri,22,18
Mar 15 2019 08:00:00,Fri,17,40
Mar 15 2019 09:00:00,Fri,13,31
Mar 15 2019 10:00:00,Fri,17,31
Mar 15 2019 11:00:00,Fri,28,17
Mar 15 2019 12:00:00,Fri,29,25
Mar 15 2019 13:00:00,Fri,29,31
Mar 15 2019 14:00:00,Fri,35,31
Mar 15 2019 15:00:00,Fri,29,26
Mar 15 2019 16:00:00,Fri,32,30
Mar 15 2019 17:00:00,Fri,36,28
Mar 15 2019 18:00:00,Fri,40,29
Mar 15 2019 19:00:00,Fri,34,27
Mar 15 2019 20:00:00,Fri,27,37
Mar 15 2019 21:00:00,Fri,29,25
Mar 15 2019 22:00:00,Fri,37,23
Mar 15 2019 23:00:00,Fri,22,18
Mar 22 2019 08:00:00,Fri,10,38
Mar 22 2019 09:00:00,Fri,19,32
Mar 22 2019 10:00:00,Fri,15,30
Mar 22 2019 11:00:00,Fri,31,16
Mar 22 2019 12:00:00,Fri,25,24
Mar 22 2019 13:00:00,Fri,32,31
Mar 22 2019 14:00:00,Fri,33,30
Mar 22 2019 15:00:00,Fri,29,25
Mar 29 2019 08:00:00,Fri,11,37
Mar 29 2019 09:00:00,Fri,16,30
Mar 29 2019 10:00:00,Fri,16,30
Mar 29 2019 11:00:00,Fri,26,18
Mar 29 2019 12:00:00,Fri,26,23
Mar 29 2019 13:00:00,Fri,27,28
Mar 29 2019 14:00:00,Fri,35,30
Mar 29 2019 15:00:00,Fri,30,23
Mar 29 2019 16:00:00,Fri,32,27
Mar 29 2019 17:00:00,Fri,33,34
Mar 29 2019 18:00:00,Fri,36,31
Mar 29 2019 19:00:00,Fri,39,22
Mar 29 2019 20:00:00,Fri,23,33
Mar 29 2019 21:00:00,Fri,27,22
Mar 29 2019 22:00:00,Fri,37,24
Mar 29 2019 23:00:00,Fri,27,17
Apr 05 2019 08:00:00,Fri,14,43
Apr 05 2019 09:00:00,Fri,18,29
Apr 05 2019 10:00:00,Fri,21,32
Apr 05 2019 11:00:00,Fri,31,24
Apr 05 2019 12:00:00,Fri,29,24
Apr 05 2019 13:00:00,Fri,31,33
Apr 05 2019 14:00:00,Fri,30,25
Apr 05 2019 15:00:00,Fri,24,30
Apr 05 2019 16:00:00,Fri,36,27
Apr 05 2019 17:00:00,Fri,35,29
Apr 05 2019 18:00:00,Fri,38,29
