Date,Hours,Day,Arrivals,Departures
Mar 1 2019,8 AM,Fri,19,40
Mar 1 2019,9 AM,Fri,18,32
Mar 1 2019,10 AM,Fri,16,34
Mar 1 2019,11 AM,Fri,32,20
Mar 1 2019,12 PM,Fri,33,26
Mar 1 2019,1 PM,Fri,30,30
Mar 1 2019,2 PM,Fri,35,31
Mar 1 2019,3 PM,Fri,29,26
Mar 3 2019,4 PM,Sun,38,39
Mar 3 2019,5 PM,Sun,35,26
Mar 3 2019,6 PM,Sun,41,28
Mar 3 2019,7 PM,Sun,30,28
Mar 3 2019,8 PM,Sun,33,36
Mar 3 2019,9 PM,Sun,32,24
Mar 3 2019,10 PM,Sun,43,26
Mar 3 2019,11 PM,Sun,26,17
Mar 4 2019,4 PM,Mon,34,30
Mar 4 2019,5 PM,Mon,36,26
Mar 4 2019,6 PM,Mon,34,26
Mar 4 2019,7 PM,Mon,34,26
Mar 4 2019,8 PM,Mon,24,36
Mar 4 2019,9 PM,Mon,26,26
Mar 4 2019,10 PM,Mon,38,22
Mar 4 2019,11 PM,Mon,24,14
Mar 5 2019,8 AM,Tue,19,37
Mar 5 2019,9 AM,Tue,16,29
Mar 5 2019,10 AM,Tue,13,36
Mar 5 2019,11 AM,Tue,31,17
Mar 5 2019,12 PM,Tue,29,20
Mar 5 2019,1 PM,Tue,33,31
Mar 5 2019,2 PM,Tue,34,27
Mar 5 2019,3 PM,Tue,28,30
Mar 5 2019,4 PM,Tue,26,27
Mar 5 2019,5 PM,Tue,35,26
Mar 5 2019,6 PM,Tue,31,22
Mar 5 2019,7 PM,Tue,30,23
Mar 5 2019,8 PM,Tue,25,35
Mar 5 2019,9 PM,Tue,30,20
Mar 5 2019,10 PM,Tue,35,20
Mar 5 2019,11 PM,Tue,26,14
Mar 6 2019,8 AM,Wed,14,39
Mar 6 2019,9 AM,Wed,17,36
Mar 6 2019,10 AM,Wed,15,34
Mar 6 2019,11 AM,Wed,27,17
Mar 6 2019,12 PM,Wed,28,19
Mar 6 2019,1 PM,Wed,31,29
Mar 6 2019,2 PM,Wed,35,27
Mar 6 2019,3 PM,Wed,22,25
Mar 6 2019,4 PM,Wed,33,33
Mar 6 2019,5 PM,Wed,35,27
Mar 6 2019,6 PM,Wed,44,25
Mar 6 2019,7 PM,Wed,35,28
Mar 6 2019,8 PM,Wed,29,37
Mar 6 2019,9 PM,Wed,28,32
Mar 6 2019,10 PM,Wed,36,23
Mar 6 2019,11 PM,Wed,25,13
Mar 7 2019,8 AM,Thu,19,39
Mar 7 2019,9 AM,Thu,16,33
Mar 7 2019,10 AM,Thu,12,33
Mar 7 2019,11 AM,Thu,30,18
Mar 7 2019,12 PM,Thu,28,20
Mar 7 2019,1 PM,Thu,30,34
Mar 7 2019,2 PM,Thu,31,27
Mar 7 2019,3 PM,Thu,22,25
Mar 7 2019,4 PM,Thu,29,29
Mar 7 2019,5 PM,Thu,41,23
Mar 7 2019,6 PM,Thu,40,22
Mar 7 2019,7 PM,Thu,34,27
Mar 7 2019,8 PM,Thu,29,39
