Date,Year,Hours,Arrivals,Departures,Total
May-01,2020,8:00 AM,1,6,7
May-01,2020,9:00 AM,3,5,8
May-01,2020,10:00 AM,1,2,3
May-01,2020,11:00 AM,4,2,6
May-01,2020,12:00 PM,5,1,6
May-01,2020,1:00 PM,4,4,8
May-01,2020,2:00 PM,4,4,8
May-01,2020,3:00 PM,4,6,10
May-01,2020,4:00 PM,2,5,7
May-01,2020,5:00 PM,3,3,6
May-01,2020,6:00 PM,2,3,5
May-01,2020,7:00 PM,5,1,6
May-01,2020,8:00 PM,6,1,7
May-01,2020,9:00 PM,5,6,11
May-01,2020,10:00 PM,4,4,8
May-01,2020,11:00 PM,3,2,5
May-02,2020,8:00 AM,4,8,12
May-02,2020,9:00 AM,2,6,8
May-02,2020,10:00 AM,0,2,2
May-02,2020,11:00 AM,1,4,5
May-02,2020,12:00 PM,4,2,6
May-02,2020,1:00 PM,5,2,7
May-02,2020,2:00 PM,1,1,2
May-02,2020,3:00 PM,4,3,7
May-02,2020,4:00 PM,4,2,6
May-02,2020,5:00 PM,4,3,7
May-02,2020,6:00 PM,2,3,5
May-02,2020,7:00 PM,5,1,6
May-02,2020,8:00 PM,2,1,3
May-02,2020,9:00 PM,4,4,8
May-02,2020,10:00 PM,4,3,7
May-02,2020,11:00 PM,2,3,5
May-04,2020,8:00 AM,1,5,6
May-04,2020,9:00 AM,1,4,5
May-04,2020,10:00 AM,0,2,2
May-04,2020,11:00 AM,2,1,3
May-04,2020,12:00 PM,1,2,3
May-04,2020,1:00 PM,2,2,4
May-04,2020,2:00 PM,2,2,4
May-04,2020,3:00 PM,5,1,6
May-04,2020,4:00 PM,4,2,6
May-04,2020,5:00 PM,3,3,6
May-04,2020,6:00 PM,1,2,3
May-04,2020,7:00 PM,4,0,4
May-04,2020,8:00 PM,3,1,4
May-04,2020,9:00 PM,2,6,8
May-04,2020,10:00 PM,3,2,5
May-04,2020,11:00 PM,0,1,1
May-05,2020,8:00 AM,1,3,4
May-05,2020,9:00 AM,2,4,6
May-05,2020,10:00 AM,1,1,2
May-05,2020,11:00 AM,1,1,2
May-05,2020,12:00 PM,2,2,4
May-05,2020,1:00 PM,8,3,11
May-05,2020,2:00 PM,1,3,4
May-05,2020,3:00 PM,4,3,7
May-05,2020,4:00 PM,2,3,5
May-05,2020,5:00 PM,3,4,7
May-05,2020,6:00 PM,1,3,4
May-05,2020,7:00 PM,3,1,4
May-05,2020,8:00 PM,2,2,4
May-05,2020,9:00 PM,1,5,6
May-05,2020,10:00 PM,2,0,2
May-05,2020,11:00 PM,3,4,7
May-06,2020,8:00 AM,2,8,10
May-06,2020,9:00 AM,3,6,9
May-06,2020,10:00 AM,3,1,4
May-06,2020,11:00 AM,3,3,6
May-06,2020,12:00 PM,5,5,10
May-06,2020,1:00 PM,4,6,10
May-06,2020,2:00 PM,3,5,8
May-06,2020,3:00 PM,2,3,5
May-06,2020,4:00 PM,4,4,8
May-06,2020,5:00 PM,1,4,5
May-06,2020,6:00 PM,4,2,6
May-06,2020,7:00 PM,6,4,10
May-06,2020,8:00 PM,5,3,8
May-06,2020,9:00 PM,6,6,12
May-06,2020,10:00 PM,2,2,4
May-06,2020,11:00 PM,0,0,0
May-07,2020,8:00 AM,1,5,6
May-07,2020,9:00 AM,1,6,7
May-07,2020,10:00 AM,1,1,2
May-07,2020,11:00 AM,1,4,5
May-07,2020,12:00 PM,6,0,6
May-07,2020,1:00 PM,4,4,8
May-07,2020,2:00 PM,3,3,6
May-07,2020,3:00 PM,5,5,10
May-07,2020,4:00 PM,1,3,4
May-07,2020,5:00 PM,1,3,4
May-07,2020,6:00 PM,4,3,7
May-07,2020,7:00 PM,4,1,5
May-07,2020,8:00 PM,4,2,6
May-07,2020,9:00 PM,3,5,8
May-07,2020,10:00 PM,2,1,3
May-07,2020,11:00 PM,1,1,2
May-08,2020,8:00 AM,0,7,7
May-08,2020,9:00 AM,2,6,8
May-08,2020,10:00 AM,1,4,5
May-08,2020,11:00 AM,2,1,3
May-08,2020,12:00 PM,4,1,5
May-08,2020,1:00 PM,7,3,10
May-08,2020,2:00 PM,3,3,6
May-08,2020,3:00 PM,0,5,5
May-08,2020,4:00 PM,3,4,7
May-08,2020,5:00 PM,3,4,7
May-08,2020,6:00 PM,1,3,4
May-08,2020,7:00 PM,5,1,6
May-08,2020,8:00 PM,7,1,8
May-08,2020,9:00 PM,5,6,11
May-08,2020,10:00 PM,4,5,9
May-08,2020,11:00 PM,2,4,6
May-09,2020,8:00 AM,5,6,11
May-09,2020,9:00 AM,2,7,9
May-09,2020,10:00 AM,1,5,6
May-09,2020,11:00 AM,2,4,6
May-09,2020,12:00 PM,6,3,9
May-09,2020,1:00 PM,4,2,6
May-09,2020,2:00 PM,5,3,8
May-09,2020,3:00 PM,4,4,8
May-09,2020,4:00 PM,3,3,6
May-09,2020,5:00 PM,3,2,5
May-09,2020,6:00 PM,5,2,7
May-09,2020,7:00 PM,5,3,8
May-09,2020,8:00 PM,3,2,5
May-09,2020,9:00 PM,3,4,7
May-09,2020,10:00 PM,1,4,5
May-09,2020,11:00 PM,1,3,4
May-11,2020,8:00 AM,2,6,8
May-11,2020,9:00 AM,0,4,4
May-11,2020,10:00 AM,1,3,4
May-11,2020,11:00 AM,3,3,6
May-11,2020,12:00 PM,2,1,3
May-11,2020,1:00 PM,0,4,4
May-11,2020,2:00 PM,4,0,4
May-11,2020,3:00 PM,4,1,5
May-11,2020,4:00 PM,3,3,6
May-11,2020,5:00 PM,1,2,3
May-11,2020,6:00 PM,0,2,2
May-11,2020,7:00 PM,5,0,5
May-11,2020,8:00 PM,1,2,3
May-11,2020,9:00 PM,3,6,9
May-11,2020,10:00 PM,4,1,5
May-11,2020,11:00 PM,1,1,2
May-02,2019,8:00 AM,18,41,59
May-02,2019,9:00 AM,16,33,49
May-02,2019,10:00 AM,21,33,54
May-02,2019,11:00 AM,32,21,53
May-02,2019,12:00 PM,30,25,55
May-02,2019,1:00 PM,32,32,64
May-02,2019,2:00 PM,35,33,68
May-02,2019,3:00 PM,26,25,51
