Date,Hours,Day,BOBAG,PASPU,LAVAX,REPOV
Jun 5 2019,8 AM,Wed,8,2,3,2
Jun 5 2019,9 AM,Wed,7,3,7,1
Jun 5 2019,10 AM,Wed,4,3,4,4
Jun 5 2019,11 AM,Wed,7,12,5,3
Jun 5 2019,12 PM,Wed,14,11,1,4
Jun 5 2019,1 PM,Wed,4,11,8,5
Jun 5 2019,2 PM,Wed,5,17,3,4
Jun 5 2019,3 PM,Wed,10,9,3,3
Jun 5 2019,4 PM,Wed,4,12,9,5
Jun 5 2019,5 PM,Wed,10,10,3,4
Jun 5 2019,6 PM,Wed,13,16,8,4
Jun 5 2019,7 PM,Wed,5,12,8,3
Jun 5 2019,8 PM,Wed,9,6,3,9
Jun 5 2019,9 PM,Wed,3,14,3,3
Jun 5 2019,10 PM,Wed,9,13,4,3
Jun 5 2019,11 PM,Wed,4,6,4,5
Jun 7 2019,8 AM,Fri,9,2,3,2
Jun 7 2019,9 AM,Fri,7,1,5,1
Jun 7 2019,10 AM,Fri,5,4,6,4
Jun 7 2019,11 AM,Fri,8,12,6,3
Jun 7 2019,12 PM,Fri,13,11,1,3
Jun 7 2019,1 PM,Fri,4,13,10,4
Jun 7 2019,2 PM,Fri,4,16,5,3
Jun 7 2019,3 PM,Fri,10,9,4,2
Jun 7 2019,4 PM,Fri,6,13,12,4
Jun 7 2019,5 PM,Fri,13,13,7,2
Jun 7 2019,6 PM,Fri,12,15,7,2
Jun 7 2019,7 PM,Fri,9,14,5,4
Jun 7 2019,8 PM,Fri,10,6,5,6
Jun 7 2019,9 PM,Fri,3,12,6,1
Jun 7 2019,10 PM,Fri,10,11,13,3
Jun 7 2019,11 PM,Fri,6,11,13,1
Jun 10 2019,8 AM,Mon,13,1,2,2
Jun 10 2019,9 AM,Mon,6,1,5,1
Jun 10 2019,10 AM,Mon,6,5,5,4
Jun 10 2019,11 AM,Mon,7,11,5,3
Jun 10 2019,12 PM,Mon,12,10,1,3
Jun 10 2019,1 PM,Mon,5,9,11,4
Jun 10 2019,2 PM,Mon,5,14,8,2
Jun 10 2019,3 PM,Mon,11,11,5,3
Jun 10 2019,4 PM,Mon,6,13,12,4
Jun 10 2019,5 PM,Mon,11,13,9,2
Jun 10 2019,6 PM,Mon,11,16,6,2
Jun 10 2019,7 PM,Mon,8,12,5,3
Jun 10 2019,8 PM,Mon,8,7,4,5
Jun 10 2019,9 PM,Mon,3,15,7,1
Jun 10 2019,10 PM,Mon,9,16,13,3
Jun 10 2019,11 PM,Mon,5,9,12,1
Jun 12 2019,8 AM,Wed,8,1,3,2
Jun 12 2019,9 AM,Wed,7,4,5,1
Jun 12 2019,10 AM,Wed,4,3,5,4
Jun 12 2019,11 AM,Wed,8,11,6,3
Jun 12 2019,12 PM,Wed,15,10,2,4
Jun 12 2019,1 PM,Wed,4,10,8,4
Jun 12 2019,2 PM,Wed,5,18,7,4
Jun 12 2019,3 PM,Wed,10,10,4,3
Jun 12 2019,4 PM,Wed,4,11,8,3
Jun 12 2019,5 PM,Wed,11,10,4,3
Jun 12 2019,6 PM,Wed,9,11,8,3
Jun 12 2019,7 PM,Wed,8,11,4,4
Jun 12 2019,8 PM,Wed,9,10,7,6
Jun 12 2019,9 PM,Wed,3,18,5,2
Jun 12 2019,10 PM,Wed,8,10,13,3
Jun 12 2019,11 PM,Wed,3,12,9,3
Jun 14 2019,8 AM,Fri,7,1,2,2
Jun 14 2019,9 AM,Fri,8,1,5,1
Jun 14 2019,10 AM,Fri,6,5,5,3
Jun 14 2019,11 AM,Fri,8,11,6,4
Jun 14 2019,12 PM,Fri,14,9,2,3
Jun 14 2019,1 PM,Fri,6,11,10,4
Jun 14 2019,2 PM,Fri,4,15,9,3
Jun 14 2019,3 PM,Fri,8,10,4,2
Jun 14 2019,4 PM,Fri,7,17,12,3
Jun 14 2019,5 PM,Fri,10,10,8,3
Jun 14 2019,6 PM,Fri,11,14,10,2
Jun 14 2019,7 PM,Fri,9,10,6,4
Jun 14 2019,8 PM,Fri,12,8,6,6
Jun 14 2019,9 PM,Fri,2,12,7,1
Jun 14 2019,10 PM,Fri,11,10,10,3
Jun 14 2019,11 PM,Fri,6,11,13,1
Jun 17 2019,8 AM,Mon,7,0,3,2
Jun 17 2019,9 AM,Mon,11,1,5,1
Jun 17 2019,10 AM,Mon,6,5,5,4
Jun 17 2019,11 AM,Mon,7,10,6,3
Jun 17 2019,12 PM,Mon,12,10,0,4
Jun 17 2019,1 PM,Mon,6,3,9,2
Jun 17 2019,2 PM,Mon,6,17,10,4
Jun 17 2019,3 PM,Mon,8,11,7,3
Jun 17 2019,4 PM,Mon,5,14,10,3
Jun 17 2019,5 PM,Mon,12,12,12,3
Jun 17 2019,6 PM,Mon,9,15,5,2
Jun 17 2019,7 PM,Mon,7,13,6,3
Jun 17 2019,8 PM,Mon,8,6,4,6
Jun 17 2019,9 PM,Mon,4,12,6,2
Jun 17 2019,10 PM,Mon,11,15,9,3
Jun 17 2019,11 PM,Mon,3,9,16,1
Jun 19 2019,8 AM,Wed,6,4,3,2
Jun 19 2019,9 AM,Wed,6,2,5,1
Jun 19 2019,10 AM,Wed,4,3,5,4
Jun 19 2019,11 AM,Wed,8,12,5,3
Jun 19 2019,12 PM,Wed,15,8,2,4
Jun 19 2019,1 PM,Wed,5,11,8,4
Jun 19 2019,2 PM,Wed,4,16,4,4
Jun 19 2019,3 PM,Wed,9,12,4,3
Jun 19 2019,4 PM,Wed,8,15,10,5
Jun 19 2019,5 PM,Wed,11,8,4,2
Jun 19 2019,6 PM,Wed,12,18,10,3
Jun 19 2019,7 PM,Wed,5,12,8,2
Jun 19 2019,8 PM,Wed,9,6,5,7
