Date,Day,Arrivals,Departures
Mar 01 2019 08:00:00,Fri,19,40
Mar 01 2019 09:00:00,Fri,18,32
Mar 01 2019 10:00:00,Fri,16,34
Mar 01 2019 11:00:00,Fri,32,20
Mar 01 2019 12:00:00,Fri,33,26
Mar 01 2019 13:00:00,Fri,30,30
Mar 01 2019 14:00:00,Fri,35,31
Mar 01 2019 15:00:00,Fri,29,26
Mar 03 2019 16:00:00,Sun,38,39
Mar 03 2019 17:00:00,Sun,35,26
Mar 03 2019 18:00:00,Sun,41,28
Mar 03 2019 19:00:00,Sun,30,28
Mar 03 2019 20:00:00,Sun,33,36
Mar 03 2019 21:00:00,Sun,32,24
Mar 03 2019 22:00:00,Sun,43,26
Mar 03 2019 23:00:00,Sun,26,17
Mar 04 2019 16:00:00,Mon,34,30
Mar 04 2019 17:00:00,Mon,36,26
Mar 04 2019 18:00:00,Mon,34,26
Mar 04 2019 19:00:00,Mon,34,26
Mar 04 2019 20:00:00,Mon,24,36
Mar 04 2019 21:00:00,Mon,26,26
Mar 04 2019 22:00:00,Mon,38,22
Mar 04 2019 23:00:00,Mon,24,14
Mar 05 2019 08:00:00,Tue,19,37
Mar 05 2019 09:00:00,Tue,16,29
Mar 05 2019 10:00:00,Tue,13,36
Mar 05 2019 11:00:00,Tue,31,17
Mar 05 2019 12:00:00,Tue,29,20
Mar 05 2019 13:00:00,Tue,33,31
Mar 05 2019 14:00:00,Tue,34,27
Mar 05 2019 15:00:00,Tue,28,30
Mar 05 2019 16:00:00,Tue,26,27
Mar 05 2019 17:00:00,Tue,35,26
Mar 05 2019 18:00:00,Tue,31,22
Mar 05 2019 19:00:00,Tue,30,23
Mar 05 2019 20:00:00,Tue,25,35
Mar 05 2019 21:00:00,Tue,30,20
Mar 05 2019 22:00:00,Tue,35,20
Mar 05 2019 23:00:00,Tue,26,14
Mar 06 2019 08:00:00,Wed,14,39
Mar 06 2019 09:00:00,Wed,17,36
Mar 06 2019 10:00:00,Wed,15,34
Mar 06 2019 11:00:00,Wed,27,17
Mar 06 2019 12:00:00,Wed,28,19
Mar 06 2019 13:00:00,Wed,31,29
Mar 06 2019 14:00:00,Wed,35,27
Mar 06 2019 15:00:00,Wed,22,25
Mar 06 2019 16:00:00,Wed,33,33
Mar 06 2019 17:00:00,Wed,35,27
Mar 06 2019 18:00:00,Wed,44,25
Mar 06 2019 19:00:00,Wed,35,28
Mar 06 2019 20:00:00,Wed,29,37
Mar 06 2019 21:00:00,Wed,28,32
Mar 06 2019 22:00:00,Wed,36,23
Mar 06 2019 23:00:00,Wed,25,13
Mar 07 2019 08:00:00,Thu,19,39
Mar 07 2019 09:00:00,Thu,16,33
Mar 07 2019 10:00:00,Thu,12,33
Mar 07 2019 11:00:00,Thu,30,18
Mar 07 2019 12:00:00,Thu,28,20
Mar 07 2019 13:00:00,Thu,30,34
Mar 07 2019 14:00:00,Thu,31,27
Mar 07 2019 15:00:00,Thu,22,25
Mar 07 2019 16:00:00,Thu,29,29
Mar 07 2019 17:00:00,Thu,41,23
Mar 07 2019 18:00:00,Thu,40,22
Mar 07 2019 19:00:00,Thu,34,27
Mar 07 2019 20:00:00,Thu,29,39
Mar 07 2019 21:00:00,Thu,24,26
Mar 07 2019 22:00:00,Thu,34,23
Mar 07 2019 23:00:00,Thu,23,17
Mar 08 2019 08:00:00,Fri,18,41
Mar 08 2019 09:00:00,Fri,16,33
Mar 08 2019 10:00:00,Fri,21,33
